Time (t),Amplitude (h),Frequency (f)
-4.534534534534535,-0.3950892511646854,11.855861625043634
-4.514514514514515,-0.3721234066914779,11.879625509129351
-4.494494494494495,-0.33404228257135826,11.903678497913589
-4.474474474474475,-0.28225227065203184,11.928023717776504
-4.454454454454455,-0.21872110926901767,11.952664318838202
-4.434434434434435,-0.1459034454009781,11.977603474867156
-4.414414414414415,-0.06664626219804665,12.002844383179259
-4.394394394394395,0.015922195490666802,12.02839026452737
-4.374374374374375,0.09851567365095357,12.054244362980988
-4.354354354354355,0.17782049237632808,12.080409945795896
-4.334334334334335,0.2506282794543925,12.106890303273506
-4.314314314314315,0.31396554591331743,12.133688748609611
-4.2942942942942945,0.3652148792043962,12.160808617732336
-4.2742742742742745,0.4022228240160967,12.188253269129024
-4.2542542542542545,0.4233900152064324,12.216026083661738
-4.2342342342342345,0.42773980377284393,12.2441304643712
-4.2142142142142145,0.414962449474592,12.27256983626885
-4.1941941941941945,0.38543291052822604,12.301347646116735
-4.1741741741741745,0.34020130432014867,12.330467362195023
-4.1541541541541545,0.28095620214979966,12.359932474056805
-4.134134134134134,0.20996201230221886,12.389746492269929
-4.114114114114114,0.12997275548212134,12.419912948145612
-4.094094094094094,0.04412550237080204,12.450435393453507
-4.074074074074074,-0.04418241463096365,12.481317400122983
-4.054054054054054,-0.13142761932423755,12.512562559930291
-4.034034034034034,-0.21410104599580737,12.544174484171386
-4.014014014014014,-0.28884884799601024,12.576156803320053
-3.9939939939939944,-0.3526082114213206,12.608513166671116
-3.9739739739739743,-0.4027325837135888,12.641247241968383
-3.9539539539539543,-0.43710120754895243,12.674362715017082
-3.9339339339339343,-0.4542084390228575,12.70786328928046
-3.9139139139139143,-0.453229103898637,12.741752685460291
-3.8938938938938943,-0.4340570769866272,12.776034641060978
-3.8738738738738743,-0.3973153214510958,12.810712909936946
-3.8538538538538543,-0.34433675577326045,12.845791261823095
-3.8338338338338342,-0.27711648149103746,12.881273481847927
-3.8138138138138142,-0.19823705820818255,12.917163370029158
-3.7937937937937942,-0.1107696073439982,12.953464740751464
-3.773773773773774,-0.018154518276701326,12.990181422226076
-3.753753753753754,0.07593362071673888,13.027317255931969
-3.733733733733734,0.16773157421140011,13.064876096038343
-3.713713713713714,0.25353773841547866,13.102861808808104
